Gender   First Name  Last Name  Status 


M      Max	      John	  bad

M      asd	      asd	  bad

M      asd	      asd	  Good

sdf      dsf	      sdf	  sdf

sdfds      sdf	      sdf	  ds

M      asd	      asd	  Good

M      asdas	      asd	  bad

M      sdas	      asd	  Good

M      asd	      asd	  Good

M      dsf	      sdf	  Good

M      sdf	      sdf	  bad

M      dsf	      sdf	  Bad

F      sfsd	      sdfsd	  Good

F      sdf	      dsf	  Good

M      safd	      asd	  Good

M      sdf	      sdf	  Bad

M      sdf	      dsf	  Good

M      sdfsd	      sdfsdf	  Good
